Legal Name,Contract Name,Services Included in Services Contract,Name of Services Contract,Vubiquity Party to Service(s) Contract,Territory(ies) Included in Contract,Applicable Countries,Territory Notes
Sony Pictures Television Distribution (France - VOD),Sony Pictures France - 2010 VOD content license Agreement - Services,TVOD,z_VOD Content License Agreement,ODM,"DOMTOM, Europe",,
Sony Pictures Television Distribution (France - SVOD),Sony Pictures France - Amdmt 1 to SVOD Agmt - Services,SVOD,z_VOD Content License Agreement,ODM,,,
Sony Pictures Television Distribution (France - VOD),Sony Pictures France - Amdmt 1 to VOD Services Agmt - Services,TVOD,z_VOD Content License Agreement,ODM,,,
Sony Pictures Television Distribution (France - SVOD),Sony Pictures France - Amdmt 2 to SVOD Agmt - Services,SVOD,z_VOD Content License Agreement,ODM,,,
Sony Pictures Television Distribution (France - VOD),Sony Pictures France - Amdmt 2 to VOD Agmt - Services,TVOD,z_VOD Content License Agreement,ODM,,,
Spirit Entertainment - (Multi-Territory - TVOD/EST),Spirit - 2017 TVOD/EST Content License Agreement - Services,"EST, TVOD",z_VOD Content License Agreement,Vubiquity Management Limited,"Caribbean, Europe",,"The rights granted shall be for the following territories:
• United Kingdom of Great Britain and Northern Ireland, including British Overseas Territories where rights are available (Anguilla, Montserrat, Bermuda, Pitcairn Island, British Antarctic Territory, St Helena, British Indian Ocean Territory, St Helena dependencies (Ascension Island, Tristan da Cunha), British Virgin islands, Cayman Islands, South Georgia and the South Islands, Falkland Islands, Turks and Calcos Islands, Gibraltar) Channel Islands, Isle of Man
• Republic of Ireland
• Channel Islands (Bailiwick of Jersey and Bailiwick of Guernsey)
• Malta

Licensor hereby agrees to licence the Included Programmes in the following territories subject to the rights being available In such territories:
• Greece, Cyprus, The Former Yugoslavia, Bulgaria
• Middle East
• Africa
• Latin America, Including Caribbean (where license rights are available)."
Splendid Film GmbH,Splendid - 2014 VOD/PPV Content License Agreement - Services,"PPV, TVOD",z_VOD Content License Agreement,OD Deutchland,Europe,,
Star TV,Star TV - 2017 SVOD/TVOD Content License Agreement - Services,"SVOD, TVOD",z_VOD Content License Agreement,Vubiquity Management Limited,"Caribbean, LATAM",,Latin America including the Caribbean
Starz Media LLC (Africa - SVOD),Starz Media (Africa) - 2014 SVOD Content License Agreement - Services,SVOD,z_VOD Content License Agreement,Vubiquity Management Limited,Africa,,"Territory: South Africa, Kenya, Zambia, Zimbabwe, Rwanda, Ghana, Swaziland. Uganda, Nigeria, Botswana. "
Starz Media LLC (Africa - SVOD),Starz Media (Africa) - Amdt#2 to 2014 SVOD Content License Agreement - Services,SVOD,z_VOD Content License Agreement,Vubiquity Management Limited,Africa,,"Territory: South Africa, Kenya, Zambia, Zimbabwe, Rwanda, Ghana, Swaziland. Uganda, Nigeria, Botswana. 

Per Amdt#1: Adds the following territories: Lesotho, Ivory Coast, Cameroon, Liberia, Congo and Seyechelles"
Starz Media LLC (Africa - SVOD),Starz Media (Africa) - Amdt#3 to 2014 SVOD Content License Agreement - Services,SVOD,z_VOD Content License Agreement,Vubiquity Management Limited,Africa,,"Territory: South Africa, Kenya, Zambia, Zimbabwe, Rwanda, Ghana, Swaziland. Uganda, Nigeria, Botswana. 

Per Amdt#1: Adds the following territories: Lesotho, Ivory Coast, Cameroon, Liberia, Congo and Seyechelles"
Starz Media LLC (Africa - SVOD),Starz Media (Africa) - Amdt#4 to 2014 SVOD Content License Agreement - Services,SVOD,z_VOD Content License Agreement,Vubiquity Management Limited,Africa,,"Territory: South Africa, Kenya, Zambia, Zimbabwe, Rwanda, Ghana, Swaziland. Uganda, Nigeria, Botswana. 

Per Amdt#1: Adds the following territories: Lesotho, Ivory Coast, Cameroon, Liberia, Congo and Seyechelles"
Starz Media LLC (Africa - SVOD),Starz Media (Africa) - Amdt#5 to 2014 SVOD Content License Agreement - Services,SVOD,z_VOD Content License Agreement,Vubiquity Management Limited,Africa,,"Territory: South Africa, Kenya, Zambia, Zimbabwe, Rwanda, Ghana, Swaziland. Uganda, Nigeria, Botswana. 

Per Amdt#1: Adds the following territories: Lesotho, Ivory Coast, Cameroon, Liberia, Congo and Seyechelles"
Stream Broadband Communications (Pty) Ltd,Stream Broadband (Altech) - Carriage and Service Agreement - Services,"Content Processing, SVOD, TVOD",z_VOD Services Agreement,Vubiquity Management Limited,Africa,AFRICA:South Africa,
Studio Canal Limited (FilmFlex),Studio Canal (FilmFlex) - 2013 VOD Content License Agreement - Services,TVOD,z_VOD Content License Agreement,FilmFlex,Europe,,"The Territory for which the Rights are granted under this Agreement shall be the
United Kingdom, the Republic of lreland, the Channel Islands and the Isle of Man."
Studio Canal Limited (FilmFlex),Studio Canal (FilmFlex) - Amdt 1 to 2013 VOD Content License Agrmt - Services,TVOD,z_VOD Content License Agreement,FilmFlex,Europe,,"The Territory for which the Rights are granted under this Agreement shall be the
United Kingdom, the Republic of lreland, the Channel Islands and the Isle of Man."
Studio100 Media GmbH,Studio100 - VOD Content License Agreement - Services,"SVOD, TVOD",z_VOD Content License Agreement,OD Deutchland,Europe,,
StudioCanal,StudioCanal - Amdmt 1 to SVOD Agmt - Services,SVOD,z_VOD Content License Agreement,ODM,,,
StudioCanal,StudioCanal - Amdmt 2 to SVOD Agmt - Services,SVOD,z_VOD Content License Agreement,ODM,,,
StudioCanal,StudioCanal - SVOD Licensing Agreement - Services,SVOD,z_VOD Content License Agreement,ODM,"DOMTOM, Europe",,
StudioCanal Limited (UK-EST),StudioCanal (UK) - 2017 EST Buy & Keep Agreement - Services,EST,z_VOD Content License Agreement,Vubiquity Management Limited,Europe,EUR:Channel Islands,
StudioCanal Limited (UK-EST),StudioCanal (UK) - Amdt#1 to 2017 EST Buy & Keep Agreement - Services,EST,Content License Agreement,Vubiquity Management Limited,Europe,EUR:Channel Islands,
Suburban Fiber Company Limited,Suburban Fiber Company - Carriage and Service Agreement,"Content Processing, SVOD, TVOD",z_VOD Services Agreement,Vubiquity Management Limited,,,
Suburban Fiber Company Limited,Suburban Fiber Company - Carriage and Service Agreement - Amend 1 - Services,"Content Processing, SVOD, TVOD",z_VOD Services Agreement,Vubiquity Management Limited,,,
Suburban Fiber Company Limited,Suburban Fiber Company - Carriage and Service Agreement - Amend 2 - Services,"Content Processing, SVOD, TVOD",z_VOD Services Agreement,Vubiquity Management Limited,,,
Suburban Fiber Company Limited,Suburban Fiber Company - Carriage and Service Agreement - Amend 3 - Services,"Content Processing, SVOD, TVOD",z_VOD Services Agreement,Vubiquity Management Limited,,,
TALKTALK TELECOM LIMITED,TalkTalk - VOD Services Agreement - Services,"Content Processing, TVOD",z_VOD Services Agreement,ODM,Europe,EUR:United Kingdom,
TalkTalk Telecom Limited,TalkTalk (FilmFlex) - 2014 TVOD Services Agreement - Services,"Content Processing, TVOD",z_VOD Services Agreement,FilmFlex,Europe,,
TEL-AD BROADCASTING CHANNELS LTD,TEL-AD (Israel - Linear/SVOD) - 2018 Content License Agreement - Services,"Linear, OTT",z_VOD Content License Agreement,Vubiquity Management Limited,Asia,ASIA:Israel,"The output term shall commence on April 15, 2018 (the ""Start Date"") and shall
Term: continue for a period of thirty-three (33) months thereafter (the ""Output Term"").
For clarity, each Year of the Output Term is set forth below:
• ""Year 1"" : April15, 2018 -April14, 2019
• ""Year 2"" : April 15, 2019- April 14, 2020
• ""Year 3"" : April 15, 2020- January 14, 2021"
Telefonica TData S/A,Telefonica & Telefonica TDATA - Amdt 1 to 2011 VOD Services Agrmt - Services,Content Processing,z_VOD Services Agreement,Vubiquity Management Limited,LATAM,LATAM:Brazil,
Telefonica Empresas Chile S.A,Telefonica Digital Limited - Framework Agreement - Services,"Content Processing, SVOD, TVOD",z_VOD Services Agreement,ODM,Worldwide,,
Telefonica Brasil S/A,Telefonica Sistema De Televisao S/A - 2011 VOD Services Agreement - Services,Content Processing,z_VOD Services Agreement,ODM,LATAM,LATAM:Brazil,
Telefonica Brasil S/A,Telefonica Sistema De Televisao S/A - Amdt 1 2011 VOD Services Agrmt - Services,Content Processing,z_VOD Services Agreement,ODM,LATAM,LATAM:Brazil,
"TELEKOM SLOVENIJE, d.d.",Telekom Slovenije - VOD Carriage and Service Agreement - Amend 1 - Services,"Content Processing, SVOD, TVOD",z_VOD Services Agreement,Vubiquity Management Limited,SEE,SEE:Slovenia,
"TELEKOM SLOVENIJE, d.d.",Telekom Slovenije - VOD Carriage and Service Agreement - Services,"Content Processing, SVOD, TVOD",z_VOD Services Agreement,Vubiquity Management Limited,SEE,SEE:Slovenia,
Telepool (ODD) TVOD,Telepool (ODD) - 2012 TVOD Content License Agreement - Services,TVOD,z_VOD Content License Agreement,OD Deutchland,Europe,,
"Teleview International, S A L",Teleview - 2012 SVOD/TVOD Content Licensing Agreement - Services,"SVOD, TVOD",z_VOD Content License Agreement,ODM,MENA,,
Teleview (Africa/Mena),Teleview - 2018 Content License Agreement - Services,"PVOD, TVOD",z_VOD Content License Agreement,Vubiquity Management Limited,"Africa, MENA",,"Middle East and North Africa
• Bahrain
• Egypt
• Iran
• Iraq
• Jordan
• Kuwait
• Lebanon
• Libya
• Oman
• Qatar
• Saudi Arabia
• Syria
• United Arab Emirates
• Palestine
• Algeria
• Morocco
• South Sudan
• Tunisia
• Yemen"
OTT Pacifico S.A.,Televisa - BLIM - VOD Content Processing Agreement - Amend 1 - Services,Content Processing,z_VOD Services Agreement,Vubiquity Management Limited,Mexico,MEXICO:Mexico,
OTT Pacifico S.A.,Televisa - BLIM - VOD Content Processing Agreement - Services,Content Processing,z_VOD Services Agreement,Vubiquity Management Limited,Mexico,MEXICO:Mexico,
Televisora De Costa Rica S.A,Televisora De Costa Rica S.A - 2014 SVOD/TVOD Services Agreement - Services,"Content Processing, SVOD, TVOD",z_VOD Services Agreement,Vubiquity Management Limited,LATAM,LATAM:Costa Rica,Territory means Costa Rica
Virgin Media Limited(FilmFlex),Telewest(FilmFlex) - 2004 VOD Services Agreement - Services,TVOD,z_VOD Services Agreement,FilmFlex,Europe,,"""Territory"" means the United Kingdom, the Isle of Man and the Channel Islands"
The Works UK Distribution Limited (FilmFlex),The Works (FilmFlex) - 2014 VOD Content License Agreement - Services,TVOD,z_VOD Content License Agreement,FilmFlex,Europe,,"The Territory for which the Rights are granted under this Agreement shall be the United Kingdom, the Republic of Ireland, the Channel Islands and the Isle of Man."
The Works UK Distribution Limited (FilmFlex),The Works (FilmFlex) - Amdt #1 to 2014 VOD Content License Agreement - Services,TVOD,z_VOD Content License Agreement,FilmFlex,Europe,,"The Territory for which the Rights are granted under this Agreement shall be the United Kingdom, the Republic of Ireland, the Channel Islands and the Isle of Man."
Thunderbird Releasing Limited (Multi-Territory - EST/TVOD),Thunderbird - 2018 EST/TVOD Content License Agreement - Services,"EST, TVOD",z_VOD Content License Agreement,Vubiquity Management Limited,"Africa, Asia, Caribbean, Europe, LATAM, MENA, SEE",,
Tiberius Film GmbH & Co. KG,Tiberius Film - 2015 EST/VOD Content License Agreement - Services,TVOD,z_VOD Content License Agreement,OD Deutchland,Europe,,"Germany, Austria Switzerland and Lichtenstein."
Tiberius Film GmbH & Co. KG,Tiberius Film - Amdnt 1 to  2015 EST/VOD Content License Agreement - Services,TVOD,z_VOD Content License Agreement,OD Deutchland,Europe,,"Germany, Austria Switzerland and Lichtenstein."
Tele-Munchen Fernseh Gmbh & Co. Produktionsegesellschaft,TMG - 2014 VOD Content Agreement - Services,TVOD,z_VOD Content License Agreement,OD Deutchland,"Europe, GAS",,"Germany, Austria and if available to Licensor and only to the extent
exploited via Ocilion: German Speaking Switzerland, Liechtenstein and
Luxembourg."
Tele-Munchen Fernseh Gmbh & Co. Produktionsegesellschaft,TMG - Amdt#1 to 2014 VOD Content Agreement - Services,TVOD,z_VOD Content License Agreement,OD Deutchland,"Europe, GAS",,"Germany, Austria and if available to Licensor and only to the extent
exploited via Ocilion: German Speaking Switzerland, Liechtenstein and
Luxembourg."
TNL PCS. S./A.,TNL PCS. S.A./Oi - Service and Carriage Agreement - Service,"Content Processing, SVOD, TVOD",z_VOD Services Agreement,ODM,LATAM,LATAM:Brazil,
Top Fun Media A.S.,Top Fun - VOD Services Agreement - Amend 1 - Services,SVOD,z_VOD Services Agreement,ODM,,,
Top Fun Media A.S.,Top Fun - VOD Services Agreement - Services,"Content Processing, TVOD",z_VOD Services Agreement,ODM,,,
Tricom S.A,Tricom S.A - VOD Sales Order - Services,"Content Processing, SVOD, TVOD",z_VOD Services Agreement,ODG,Caribbean,CARIB:Dominican Republic,
Trinity Creative Partnership Ltd,Trinity (Eire/UK) - 2019 EST/TVOD Content License Agreement - Services,"EST, TVOD",z_VOD Content License Agreement,Vubiquity Management Limited,Europe,"EUR:Channel Islands, EUR:Ireland, EUR:Isle of Man, EUR:United Kingdom","UK & Eire: United Kingdom of Great Britain and Northern Ireland, Channel Islands and Isle of Man"
Trinity Filmed Entertainment Limited,Trinity (VU/FF) - 2016 TVOD/EST Content License Agreement - Services,"EST, TVOD",z_VOD Content License Agreement,Vubiquity Management Limited,"Caribbean, Europe",,"United Kingdom, including British Overseas Territories where rights are
available (Anguilla, Montserrat, Bermuda, Pitcairn Island, British Antarctic
Territory, St Helena, British Indian Ocean Territory, St Helena dependencies
(Ascension Island, Tristan da Cunha}, British Virgin Islands, Cayman Islands,
South Georgia and the South Islands, Falkland Islands, Turks and Caicos Islands,
Gibraltar, Channel Islands, Isle of Man);
• Republic of Ireland;
• Channel Islands (Bailiwick of Jersey and Bailiwick of Guernsey}."
TrustNordisk ApS,TrustNordisk (Africa/Israe) - 2018 SVOD Content License Agreement - Services,SVOD,z_VOD Content License Agreement,Vubiquity Management Limited,"Africa, Asia",ASIA:Israel,Israel (Including the West Bank) & Africa
Turner Broadcasting (Israel - SVOD),Turner (Israel) - 2015 SVOD Content License Agreement - Services,SVOD,z_VOD Content License Agreement,Vubiquity Management Limited,Asia,ASIA:Israel,Israel and the West Bank
Turner Broadcasting (Israel - SVOD),Turner (Israel) - 2016 SVOD Content License Agreement - Services,SVOD,z_VOD Content License Agreement,Vubiquity Management Limited,Asia,ASIA:Israel,"lsrael including Jerusalem, Gaza and the West Bank."
Turner Broadcasting (Israel - SVOD),Turner (Israel) - 2017 SVOD Content License Agreement - Services,SVOD,z_VOD Content License Agreement,Vubiquity Management Limited,Asia,ASIA:Israel,"lsrael including Jerusalem, Gaza and the West Bank."
Turner Broadcasting (Israel - SVOD),Turner (Israel) - Amd#1 to 2016 SVOD Content License Agreement - Services,SVOD,z_VOD Content License Agreement,Vubiquity Management Limited,Asia,ASIA:Israel,"lsrael including Jerusalem, Gaza and the West Bank."
Turner Broadcasting (Israel - SVOD),Turner (Israel) - Amd#2 to 2016 SVOD Content License Agreement - Services,SVOD,z_VOD Content License Agreement,Vubiquity Management Limited,Asia,ASIA:Israel,"lsrael including Jerusalem, Gaza and the West Bank."
Turner Broadcasting (Israel - SVOD),Turner (Israel) - Amd#3 to 2016 SVOD Content License Agreement - Services,SVOD,z_VOD Content License Agreement,Vubiquity Management Limited,Asia,ASIA:Israel,"lsrael including Jerusalem, Gaza and the West Bank."
Turner Broadcasting (Israel - SVOD),Turner (Israel) - Amdt#1 to 2015 SVOD Content License Agreement - Services,SVOD,z_VOD Content License Agreement,Vubiquity Management Limited,Asia,ASIA:Israel,Israel and the West Bank
Turner Broadcasting (Israel - SVOD),Turner (Israel) - Amdt#2 to 2015 SVOD Content License Agreement - Services,SVOD,z_VOD Content License Agreement,Vubiquity Management Limited,Asia,ASIA:Israel,Israel and the West Bank
Turner Broadcasting (Israel - SVOD),Turner (Israel) - Amdt#3 to 2015 SVOD Content License Agreement - Services,SVOD,z_VOD Content License Agreement,Vubiquity Management Limited,Asia,ASIA:Israel,Israel and the West Bank
Turner Broadcasting System Europe Limited (MENA-SVOD),Turner (MENA) - 2015 SVOD Content License Agreement - Services,SVOD,z_VOD Content License Agreement,Vubiquity Management Limited,"Africa, Asia, MENA",,"Bahrain, Kuwait, Oman, Qatar, Kingdom of Saudi Arabia, United Arab
Emirates, Jordan, Lebanon, Syria, Egypt, Libya, Monocco, Tunisia,
Yemen and Algeria."
Turner Broadcasting System Europe Limited (MENA-SVOD),Turner (MENA) - Amdt#5 - 2015 SVOD Content License Agreement - Services,SVOD,z_VOD Content License Agreement,Vubiquity Management Limited,"Africa, Asia, MENA",,"Bahrain, Kuwait, Oman, Qatar, Kingdom of Saudi Arabia, United Arab
Emirates, Jordan, Lebanon, Syria, Egypt, Libya, Monocco, Tunisia,
Yemen and Algeria."
United King Film Distribution 1990 LTD,United King Film - 2018 Linear/SVOD Content License Agreement - Services,"Linear, SVOD",z_VOD Content License Agreement,Vubiquity Management Limited,Asia,ASIA:Israel,Israel
United Media Network AG,United Media Network - VOD International Sales Order - Renewal - Services,TVOD,z_VOD Services Agreement,Vubiquity Management Limited,SEE,"SEE:Bosnia and Herzegovina, SEE:Serbia, SEE:Slovenia",
Unitymedia ,Unitymedia - Amend 1 - Services,"NVOD, PPV",Term Sheet (binding),OD Deutchland,,,
Unitymedia ,Unitymedia - Term Sheet for PPV and NVOD - Services,"NVOD, PPV",Term Sheet (binding),OD Deutchland,Europe,EUR:Germany,
Universal Studios International B.V (Africa - SVOD) ,Universal (Africa) - 2014 SVOD Content License Agreement - Services,SVOD,z_VOD Content License Agreement,Vubiquity Management Limited,Africa,,"""Territory"" means South Africa, Nigeria, Zimbabwe, Kenya, Zambia, Rwanda, Swaziland, Uganda and Ghana."
Universal Studios International B.V (Africa - SVOD) ,Universal (Africa) - Amdt #1 To  2014 SVOD Content License Agreement - Services,SVOD,z_VOD Content License Agreement,Vubiquity Management Limited,Africa,,"""Territory"" means South Africa, Nigeria, Zimbabwe, Kenya, Zambia, Rwanda, Swaziland, Uganda and Ghana."
Universal Studios International B.V (Africa - SVOD) ,Universal (Africa) - Amdt #2 To  2014 SVOD Content License Agreement - Services,SVOD,z_VOD Content License Agreement,Vubiquity Management Limited,Africa,,"""Territory"" means South Africa, Nigeria, Zimbabwe, Kenya, Zambia, Rwanda, Swaziland, Uganda and Ghana."
Universal Studios International B.V. (Israel - SVOD),Universal (Israel) - 2018 SVOD License Agreement - Services,"Linear SVOD, SVOD",Content License Agreement,Vubiquity Management Limited,Asia,ASIA:Israel,Israel and the West Bank
Universal Studios International B.V. (SEE - VOD),Universal (SEE) - 2013 VOD Content License - Agreement,TVOD,z_VOD Content License Agreement,Vubiquity Management Limited,SEE,,"""Territory"" means the countries of Serbia, Slovenia, Croatia and Bulgmia."
Universal Studios International B.V. (SEE - VOD),Universal (SEE) - Amendment #1 to 2013 VOD Content License - Agreement,TVOD,z_VOD Content License Agreement,Vubiquity Management Limited,SEE,,"""Territory"" means the countries of Serbia, Slovenia, Croatia and Bulgmia."
Universal Studios International B.V. (SEE - VOD),Universal (SEE) - Amendment #2 to 2013 VOD Content License - Agreement,TVOD,z_VOD Content License Agreement,Vubiquity Management Limited,SEE,,"Amdt#2 - Removes Bulgaria from the territories.""

Territory"" means the countries of Serbia, Slovenia, Croatia and Bulgmia."
Universal Studios International B.V. (SEE - VOD),Universal (SEE) - Amendment #3 to 2013 VOD Content License - Agreement,TVOD,z_VOD Content License Agreement,Vubiquity Management Limited,SEE,,"""Territory"" means the countries of Serbia, Slovenia, Croatia and Bulgmia."
Universal Studios International B.V. (Europe - TVOD/EST),Universal (UK) -  Amdt#1 to 2016 TVOD Content License Agreement - Services,TVOD,z_VOD Content License Agreement,Vubiquity Management Limited,Europe,,"United Kingdom, Republic of Ireland, Channel Island & Isle of Man. "
Universal Studios International B.V. (Europe - TVOD/EST),Universal (UK) - 2016 TVOD Content License Agreement - Services,TVOD,z_VOD Content License Agreement,Vubiquity Management Limited,Europe,,"United Kingdom, Republic of Ireland, Channel Island & Isle of Man. "
Universal Studios International B.V. (Europe - TVOD/EST),Universal (UK) - 2017 EST Content License Agreement - Services,EST,z_VOD Content License Agreement,Vubiquity Management Limited,Europe,,"United Kingdom of Great Britain and Northern Ireland, Channel Island and Isle of Man and Republic of Ireland."
Universal Studios International B.V. (Europe - TVOD/EST),Universal (UK) - Amdt#2 to 2017 EST Content License Agreement - Services,EST,z_VOD Content License Agreement,Vubiquity Management Limited,Europe,,"United Kingdom of Great Britain and Northern Ireland, Channel Island and Isle of Man and Republic of Ireland."
Universal International Music B.V.,Universal Music - 2010 Digital Product Agreement - Services,SVOD,z_VOD Content License Agreement,ODM,MENA,MENA:United Arab Emirates,As per Schedule F1 to the Agreement.
Universal International Music B.V.,Universal Music - Amendment 16 to 2010 Digital Product Agreement - Services ,SVOD,z_VOD Content License Agreement,Vubiquity Management Limited,"Caribbean, Europe, LATAM, MENA, SEE",,"As per Schedules F1, F2, F3, F4, F5, F6, and F7 to the agreement."
Universal International Music B.V.,Universal Music - Amendment 17  to 2010 Digital Product Agreement - Services,SVOD,z_VOD Content License Agreement,"Vubiquity International Holdings, Inc.",Africa,,"Schedule F4 Territory: Nigeria, Zimbabwe, Zambia and S. Africa."
Universal International Music B.V.,Universal Music - Amendment 20  to 2010 Digital Product Agreement - Services,SVOD,z_VOD Content License Agreement,"Vubiquity International Holdings, Inc.",Africa,,"Schedule F4 Territory: Nigeria, Zimbabwe, Zambia and S. Africa."
Universal Studios International B.V (Africa - VOD) ,Universal Studios (Africa) - 2017 EST/VOD Content License Agreement - Services,"EST, TVOD",z_VOD Content License Agreement,Vubiquity Management Limited,Africa,,"'Territory""means Ghana, Kenya, Nigeria, Seychelles, South Africa, Zambia, Zimbabwe. 


"
Universal Studios International B.V (ODD),Universal Studios (Europe) - 2015 VOD Content License Agreement - Services,TVOD,z_VOD Content License Agreement,OD Deutchland,"Europe, GAS",,"""Territory"" means Germany, Austria, Switzerland, Luxembourg and Liechtenstein."
Universal Studios International B.V (FilmFlex),Universal Studios (FlimFlex)  - 2012 VOD Content License Agreement - Services,TVOD,z_VOD Content License Agreement,FilmFlex,Europe,,
Universal Studios International B.V (FilmFlex),Universal Studios (FlimFlex) - Amd 10 2012 VOD Contnt Licen Agrmt - Services,TVOD,z_VOD Content License Agreement,FilmFlex,Europe,,
Universal Studios International B.V (FilmFlex),Universal Studios (FlimFlex) - Amdt 1 2012 VOD Contnt Licen Agrmt - Services,TVOD,z_VOD Content License Agreement,FilmFlex,Europe,,
Universal Studios International B.V (FilmFlex),Universal Studios (FlimFlex) - Ext 9 2012 VOD Contnt Licen Agrmt - Services,TVOD,z_VOD Content License Agreement,FilmFlex,Europe,,
Universal Studios International B.V. (Greece - VOD),Universal Studios (Greece) - 2008 Amended and Restated VOD Agmt - Services,TVOD,z_VOD Content License Agreement,ODM,SEE,,Greece and Greek Cyprus
Universal Studios International B.V. (Greece - VOD),Universal Studios (Greece) - Amdmt 1 to Amended and Restated VOD Agmt - Services,TVOD,z_VOD Content License Agreement,ODM,SEE,,Greece and Greek Cyprus
Universal Studios International B.V. (Greece - VOD),Universal Studios (Greece) - Amdmt 2 to Amended and Restated VOD Agmt - Services,TVOD,z_VOD Content License Agreement,ODM,SEE,,Greece and Greek Cyprus
Universal Studios International B.V. (Greece - VOD),Universal Studios (Greece) - Amdmt 3 to Amended and Restated VOD Agmt - Services,TVOD,z_VOD Content License Agreement,Vubiquity Management Limited,SEE,,"Greece, Greek Cyprus & Malta"
Universal Studios International B.V. (Greece - VOD),Universal Studios (Greece) - Amdmt 4 to Amended and Restated VOD Agmt - Services,TVOD,z_VOD Content License Agreement,Vubiquity Management Limited,SEE,,"Greece, Greek Cyprus & Malta"
Universal Studios International B.V. (LatAm - VOD/PPV),Universal Studios (LatAm) - 2012 VOD/PPV License Agreement - Services,"PPV, TVOD",z_VOD Content License Agreement,ODM,"Caribbean, LATAM, MENA, Mexico",,
Universal Studios International B.V. (LatAm - VOD/PPV),Universal Studios (LatAm) - Amdmt 10 to TVOD License Agmt - Services - PVOD BR,PVOD,z_VOD Content License Agreement,Vubiquity Management Limited,LATAM,LATAM:Brazil,"In respect of Authorized Cable Networks: Dominican Republic, Mexico, Chile, Colombia, Argentina, Paraguay, Uruguay, Costa Rica, Honduras, Paraguay, Guatemala, El Salvador and Panama, as applicable (see Exhibit C).

In respect of Authorized DTH/DBS Networks: Brazil, Mexico, Costa Rica, Nicaragua, the Dominican Republic, Panama, Guatemala, Honduras, Belize, El Salvador and Haiti as applicable (see Exhibit C).

In respect of the Bazuca VOD Service: Chile, Argentina and the Additional Territories. In respect of the Veo OTT VOD Service: Mexico. For purposes of this Agreement, ""Additional TciTitories"" means the following countries and their respective territories, possessions, commonwealths, trusteeships and protectorates in Latin America, as follows: Mexico, Central America (i.e., Belize, Costa Rica, Guatemala, El Salvador, Honduras, Nicaragtm aud Prumma), South America (i.e., Bolivia, Cohunbia, Ecuador, French Guyana, Guayana, Paragtmy, Peru, Surinam, Uruguay and Venezuela) and the Caribbean (i.e., Anguilla, Antigua, Barbuda, Aruba, Bahamas, Barbados, British Virgin Islands, Cayman Islands, Dominica, Domiuican Republic, Grenada, Guadeloupe, Haiti, Jamaica,Martinique, Montserrat, the Netherlands Antilles, St. Kitts and Nevis, St. Lucia, St. Vincent and the Grenadines, Trinidad, Tobago, the Turk and Caicos, St. Martin, and Curacao)."
